speaker_id,gt_len,wer,ground_truth_path,generated_path,gt_basename,gt_stem,ground_truth_text
p283,103,0.05,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p283/p283_005_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p283/p283_005_mic1_cloned.wav,p283_005_mic1.wav,p283_005_mic1,"She can scoop these things into three red bags, and we will go meet her Wednesday at the train station."
p283,75,0.0909090909090909,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p283/p283_012_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p283/p283_012_mic1_cloned.wav,p283_012_mic1.wav,p283_012_mic1,Throughout the centuries people have explained the rainbow in various ways.
p283,67,0.0,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p283/p283_411_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p283/p283_411_mic1_cloned.wav,p283_411_mic1.wav,p283_411_mic1,"Thankfully, Peter had already found another outlet for his talents."
p283,55,0.0,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p283/p283_081_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p283/p283_081_mic1_cloned.wav,p283_081_mic1.wav,p283_081_mic1,They would now be able to look forward with confidence.
p283,55,0.0,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p283/p283_155_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p283/p283_155_mic1_cloned.wav,p283_155_mic1.wav,p283_155_mic1,Their prescription is largely about changing attitudes.
p283,54,0.0,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p283/p283_197_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p283/p283_197_mic1_cloned.wav,p283_197_mic1.wav,p283_197_mic1,The expansion will be financed by the Clydesdale Bank.
p283,52,0.0,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p283/p283_047_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p283/p283_047_mic1_cloned.wav,p283_047_mic1.wav,p283_047_mic1,The whole of southern Africa is in the grip of Aids.
p283,52,0.1111111111111111,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p283/p283_175_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p283/p283_175_mic1_cloned.wav,p283_175_mic1.wav,p283_175_mic1,"This year, this month, will be special for Torrance."
p283,49,0.0,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p283/p283_415_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p283/p283_415_mic1_cloned.wav,p283_415_mic1.wav,p283_415_mic1,They've also enjoyed their share of good fortune.
p283,48,0.0,/tealab-data/rjin02/AudioWatermarkBench/data/VCTK/audios/p283/p283_259_mic1.wav,/tealab-data/rjin02/AudioWatermarkBench/results/cosyvoice_ots_on_vctk/20251122-145159/generated_audio/p283/p283_259_mic1_cloned.wav,p283_259_mic1.wav,p283_259_mic1,A small number of new jobs will also be created.
